ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g)
2A26,Broccoli,W+,N-,1891.4,1015.0
2A28,Broccoli,W+,N-,1572.1,511.0
2A31,Broccoli,W+,N-,2094.4,929.8
2A33,Broccoli,W+,N-,1860.5,915.8
2A36,Broccoli,W+,N+,2589.0,1033.0
2A38,Broccoli,W+,N+,2361.4,958.6
2A40,Broccoli,W+,N+,3082.0,1410.4
2A45,Broccoli,W+,N+,2064.2,874.2
2A46,Broccoli,W+,N+,1229.7,519.5
2A47,Broccoli,W+,N+,2302.7,907.4
2A48,Broccoli,W+,N+,3015.4,1455.2
2A54,Broccoli,W+,N+,2610.6,1336.8
2A56,Broccoli,W+,N+,2327.4,1081.3
2A57,Broccoli,W+,N+,1864.5,1026.6
2A58,Broccoli,W+,N+,1840.2,830.6
2A59,Broccoli,W+,N+,2311.1,1124.5
2A63,Broccoli,W+,N+,1698.0,851.2
2A64,Broccoli,W+,N+,2552.5,1196.8
2A67,Broccoli,W-,N+,1571.2,730.3
2A70,Broccoli,W-,N+,1109.6,282.0
2A71,Broccoli,W-,N+,1656.2,546.1
2A73,Broccoli,W-,N+,1311.6,516.8
2A74,Broccoli,W-,N+,1747.4,776.3
2A78,Broccoli,W-,N+,1456.7,497.3
2A79,Broccoli,W-,N+,2045.1,1018.5
2A81,Broccoli,W-,N+,2377.5,977.9
2A83,Broccoli,W-,N+,1958.1,914.5
2A84,Broccoli,W-,N+,1919.3,844.2
2A85,Broccoli,W-,N+,1734.4,632.3
2A89,Broccoli,W-,N+,2059.5,1054.5
2A90,Broccoli,W-,N+,1906.6,801.3
2A93,Broccoli,W-,N+,2091.2,811.0
2A94,Broccoli,W-,N+,1225.4,426.9
2A95,Broccoli,W-,N+,1725.2,674.3
2A96,Broccoli,W-,N+,1002.1,196.0
2A97,Broccoli,W-,N+,1931.2,846.7
2A98,Broccoli,W-,N+,1889.4,716.7
2A100,Broccoli,W-,N+,1428.8,434.6
2A101,Broccoli,W-,N+,2337.1,1093.4
2A105,Broccoli,W-,N-,1820.0,798.4
2A106,Broccoli,W-,N-,1095.5,502.9
